feature,fold,validation_start,validation_end,training_races,validation_races,coverage,alpha,market_composite,adjusted_composite,composite_delta,top3_recall,ndcg3,pairwise_ranking_accuracy
distance_m,1,2026-03-15T06:10:00+00:00,2026-03-27T00:36:00+00:00,1410,500,1.0,0.0,0.6300278256990635,0.6300278256990635,0.0,0.578,0.6057097064929563,0.7584015963032976
distance_m,2,2026-03-27T01:11:00+00:00,2026-04-04T06:44:00+00:00,1910,500,1.0,0.0,0.6261517043389135,0.6261517043389135,0.0,0.576,0.6014861979587514,0.751120619396903
distance_m,3,2026-04-04T06:50:00+00:00,2026-04-17T01:25:00+00:00,2410,500,1.0,0.0,0.6280889408128764,0.6280889408128764,0.0,0.5706666666666667,0.6031959044517073,0.7678265254664649
distance_m,4,2026-04-17T01:44:00+00:00,2026-05-01T05:19:00+00:00,2910,500,1.0,0.0,0.6112771681162608,0.6112771681162608,0.0,0.5546666666666666,0.5856322366703473,0.7501431024613623
distance_m,5,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,1.0,0.0,0.5991614550260691,0.5991614550260691,0.0,0.5393333333333333,0.567564559739434,0.7504145936981758
distance_m,6,2026-05-14T06:52:00+00:00,2026-05-23T05:39:00+00:00,3910,500,1.0,0.0,0.6118636575634334,0.6118636575634334,0.0,0.554,0.5834194129859119,0.7560352172678216
distance_m,7,2026-05-23T05:41:00+00:00,2026-06-03T05:24:00+00:00,4410,500,1.0,0.0,0.6091878200109806,0.6091878200109806,0.0,0.5573333333333333,0.5783241319725009,0.7437604814047548
distance_m,8,2026-06-03T05:32:00+00:00,2026-06-13T04:10:01+00:00,4910,500,1.0,0.0,0.6168040043789969,0.6168040043789969,0.0,0.5586666666666666,0.5869946575751156,0.7628880266075388
distance_m,9,2026-06-13T04:12:01+00:00,2026-06-22T05:30:00+00:00,5410,500,1.0,0.0,0.6051414175132467,0.6051414175132467,0.0,0.552,0.5729830807672721,0.7435825892857143
distance_m,10,2026-06-22T05:45:00+00:00,2026-07-03T05:16:00+00:00,5910,500,1.0,0.0,0.6023206162626358,0.6023206162626358,0.0,0.5486666666666666,0.5798219067390951,0.732127224978115
distance_m,11,2026-07-03T05:20:00+00:00,2026-07-11T07:52:00+00:00,6410,500,1.0,0.0,0.6080218701209745,0.6080218701209745,0.0,0.5533333333333333,0.5777212833007996,0.7476995305164319
distance_m,12,2026-07-11T08:01:00+00:00,2026-07-22T02:07:00+00:00,6910,500,1.0,0.0,0.619182764327878,0.619182764327878,0.0,0.5673333333333334,0.5901344619037528,0.7519299287410927
field_size,1,2026-03-15T06:10:00+00:00,2026-03-27T00:36:00+00:00,1410,500,1.0,0.0,0.6300278256990635,0.6300278256990635,0.0,0.578,0.6057097064929563,0.7584015963032976
field_size,2,2026-03-27T01:11:00+00:00,2026-04-04T06:44:00+00:00,1910,500,1.0,0.0,0.6261517043389135,0.6261517043389135,0.0,0.576,0.6014861979587514,0.751120619396903
field_size,3,2026-04-04T06:50:00+00:00,2026-04-17T01:25:00+00:00,2410,500,1.0,0.0,0.6280889408128764,0.6280889408128764,0.0,0.5706666666666667,0.6031959044517073,0.7678265254664649
field_size,4,2026-04-17T01:44:00+00:00,2026-05-01T05:19:00+00:00,2910,500,1.0,0.0,0.6112771681162608,0.6112771681162608,0.0,0.5546666666666666,0.5856322366703473,0.7501431024613623
field_size,5,2026-05-01T05:26:00+00:00,2026-05-14T06:40:00+00:00,3410,500,1.0,0.0,0.5991614550260691,0.5991614550260691,0.0,0.5393333333333333,0.567564559739434,0.7504145936981758
